country_name,year,DM_age_15.19_p,DM_age_20.24_p,DM_age_25.29_p,DM_age_30.34_p,DM_age_35.39_p,DM_age_40.44_p,DM_age_45.49_p,DM_age_marr_mean,DM_age_mean,DM_born_rural_p,DM_marr_p,DM_nvr_marr_p,DM_urban_p,drought_spei03_n1_share12,drought_spei03_n1_share36,drought_spei03_n1_share60,drought_spei03_n1.5_share12,drought_spei03_n1.5_share36,drought_spei03_n1.5_share60,drought_spei03_n2_share12,drought_spei03_n2_share36,drought_spei03_n2_share60,ED_attainment_no_educ_p,ED_attainment_primary_completed_p,ED_attainment_primary_p,ED_attainment_secondary_completed_p,ED_attainment_secondary_higher_p,ED_attainment_secondary_p,ED_educ_years_mean,ED_litt_p,EI_elec_p,EI_fridge_p,EI_radio_p,EI_tv_p,EI_women_elec_p,EI_women_fridge_p,EI_women_radio_p,EI_women_tv_p,ER_elec_rural_p,ER_elec_urban_p,FF_ASFR_15.19,FF_ASFR_20.24,FF_ASFR_25.29,FF_ASFR_30.34,FF_ASFR_35.39,FF_ASFR_40.44,FF_ASFR_45.49,FF_ASFR_SE_15.19,FF_ASFR_SE_20.24,FF_ASFR_SE_25.29,FF_ASFR_SE_30.34,FF_ASFR_SE_35.39,FF_ASFR_SE_40.44,FF_ASFR_SE_45.49,FF_GFR,FF_TFR,FP_desired_mean,gdp_pc,HD_children_mean,HD_size_defacto_mean,HD_size_dejure_mean,HD_women_children_mean,HD_women_size_mean,hdi,HH_bicycle_p,HH_car_p,HH_floor_high_p,HH_floor_low_p,HH_motorcycle_p,HH_time_water_mean,HH_toilet_high_p,HH_toilet_low_p,HH_water_high_p,HH_water_low_p,HH_women_floor_high_p,HH_women_floor_low_p,HH_women_time_water_mean,HH_women_toilet_high_p,HH_women_toilet_low_p,HH_women_water_high_p,HH_women_water_low_p,HL_CMR,HL_IMR,HL_NNMR,HL_PNNMR,HL_U5MR,pre_max12,pre_max36,pre_max60,pre_mean12,pre_mean36,pre_mean60,pre_min12,pre_min36,pre_min60,pre_sum12,pre_sum36,pre_sum60,RH_age_first_birth_mean,RH_age_first_sex_mean,RH_children_born_mean,RH_children_living_mean,RH_contr_modern_know_p,RH_contr_modern_p,RH_contr_p,tmp_max12,tmp_max36,tmp_max60,tmp_mean12,tmp_mean36,tmp_mean60,tmp_min12,tmp_min36,tmp_min60,WK_working_p,WL_wealth_gini,WL_wealth_mean,WL_wealth_median,FP_desired_daugh_mean,FP_desired_sons_mean,RH_family_planning_mobile_p,RH_family_planning_radio_p,RH_family_planning_tv_p,WK_working_agri_p,RH_family_planning_news_p,WK_working12_p,DM_age_diff_0_p,DM_age_diff_10plus_p,DM_age_diff_5_9_p,DM_age_diff_5minus_p,DM_age_diff_mean,EI_telephone_p,EI_women_telephone_p,DP_decide_health_p,DP_decide_large_purchase_p,DP_decide_money_p,DP_decide_visits_p,EI_modern_cooking_p,EI_news_week_p,EI_radio_week_p,EI_tv_week_p,EI_women_modern_cooking_p,HL_smoke_cig_p,HL_smoke_p,WK_working_paid_p,HL_number_cigarettes_mean,HL_smoke10_p,HL_smoke15_p,HL_smoke5_p,NT_women_anemia_any_p,DV_phys_12m_p,DV_phys_or_sex_partner_12m_p,DV_phys_or_sex_partner_p,DV_phys_p,DV_phys_partner_12m_p,DV_phys_partner_p,DV_sex_12m_p,DV_sex_p,DV_sex_partner_12m_p,DV_sex_partner_p,ED_litt_whole_p,DP_earn_more_equal_p,DP_earn_more_p,HL_health_insur_p,HH_watch_p,DP_owns_house_p,DP_owns_land_p,DP_decide_contraception_p,EI_computer_p,DP_decide_no_contraception_p,EI_internet_day_p,EI_internet_week_p,EI_mobile_p
Indonesia,1999,2.84,10.33,13.96,13.36,12.82,9.96,8.86,18.79,23.83,,67.40,,19.63,0.40,0.19,0.19,0.22,0.09,0.08,0.06,0.02,0.02,8.23,20.50,38.40,10.32,25.50,22.83,4.58,80.51,71.49,12.55,55.57,28.05,52.03,9.53,42.03,21.76,63.52,94.99,56.04,147.72,154.45,116.51,69.14,22.84,6.46,9.28,11.71,13.87,13.31,12.22,7.41,4.67,99.68,2.87,2.20,6918.81,0.59,,4.50,0.54,3.67,0.60,42.58,4.11,15.46,14.18,22.83,13.18,,,17.55,38.62,11.22,10.33,9.04,,,12.32,28.23,15.39,44.82,21.88,22.95,59.45,357.94,430.28,448.48,182.64,212.40,211.45,53.64,51.19,45.39,2191.62,7646.26,12686.91,19.04,17.56,2.12,1.90,69.35,35.02,37.74,26.78,26.91,27.02,26.11,26.10,26.07,25.32,25.18,25.13,,0.29,42.62,41.32,0.96,0.98,,17.21,29.26,41.81,8.74,39.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,1999,1.83,7.47,11.65,11.69,9.09,7.53,5.55,19.89,17.99,,52.64,,40.74,0.11,0.15,0.16,0.01,0.00,0.02,0.00,0.00,0.00,6.36,3.12,7.84,9.91,40.62,28.29,4.80,70.84,98.00,84.40,75.51,91.85,54.09,48.68,41.80,52.17,94.36,99.35,35.18,162.93,245.97,215.01,151.74,55.89,12.87,4.39,8.46,9.77,10.78,14.82,9.82,6.97,141.89,4.40,2.33,6687.33,1.00,5.84,5.97,0.74,3.84,0.70,,22.91,77.73,0.78,,34.45,85.93,9.58,93.44,3.97,44.86,0.47,22.62,48.05,4.41,51.43,1.99,5.98,29.41,18.51,10.90,35.20,34.37,42.74,46.49,10.33,9.79,9.96,0.00,0.00,0.00,123.92,352.36,597.67,17.69,,2.39,2.28,54.69,19.00,26.65,28.02,28.63,28.68,18.71,18.86,18.84,8.00,8.00,7.33,7.87,0.21,76.42,79.10,0.94,1.14,24.05,26.46,46.81,6.82,19.88,9.13,0.48,4.62,9.68,6.17,3.47,34.48,18.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,1999,22.98,20.18,17.50,12.70,11.95,8.34,6.35,18.67,27.97,80.39,60.55,30.37,28.94,0.10,0.16,0.17,0.05,0.06,0.06,0.01,0.01,0.01,11.87,23.66,57.35,16.04,30.78,27.32,7.07,96.01,18.00,4.99,66.47,15.90,19.81,7.20,73.07,21.78,4.37,39.85,108.60,242.88,215.15,183.80,106.39,45.62,16.75,14.72,19.36,18.01,23.47,18.71,13.13,12.68,162.39,4.60,3.77,2566.82,0.73,4.24,4.22,1.02,5.71,0.45,24.51,5.17,0.65,60.46,0.91,29.63,14.43,77.89,27.11,57.31,2.76,58.64,30.52,15.82,76.50,27.49,58.34,38.37,67.88,27.43,40.45,102.90,294.59,308.72,308.87,114.20,91.73,87.91,9.61,3.52,3.39,1370.40,3302.20,5274.41,19.36,16.44,2.76,2.46,96.57,24.25,30.17,23.53,23.53,23.53,21.82,21.75,21.68,20.12,19.97,19.69,51.47,0.55,20.35,15.20,1.43,1.48,,55.08,22.06,41.26,30.20,54.18,1.47,22.47,45.75,30.30,7.19,5.61,7.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madagascar,1999,21.45,18.61,16.94,14.16,11.99,9.80,7.05,17.73,28.61,72.56,63.83,21.36,25.55,0.11,0.17,0.17,0.10,0.09,0.08,0.00,0.00,0.01,25.34,6.04,49.81,1.79,24.84,23.68,3.57,90.60,10.80,1.61,41.84,7.07,13.25,2.02,47.47,9.30,2.92,37.11,188.41,270.58,240.75,207.16,143.50,86.18,24.25,15.89,18.89,19.00,21.42,21.97,20.00,14.85,203.05,5.80,8.80,1387.75,1.00,4.54,4.76,1.22,5.81,0.45,8.37,0.93,3.88,8.88,0.59,19.56,1.75,94.44,5.08,77.58,4.37,8.70,19.51,2.13,97.65,5.93,75.05,61.73,85.07,37.41,47.66,141.24,391.84,393.10,404.17,104.67,103.98,104.96,12.89,8.30,6.88,1256.08,3743.37,6297.61,19.22,16.43,3.20,2.64,70.90,8.68,15.88,26.01,26.10,26.19,23.67,23.62,23.59,20.43,20.10,19.80,78.16,0.35,14.74,10.81,5.82,5.90,,26.09,7.84,72.39,5.34,79.46,5.04,20.52,33.00,41.45,5.92,1.31,1.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malawi,1999,22.10,21.40,18.38,12.31,10.57,8.32,6.92,17.39,27.91,81.14,72.33,16.65,16.24,0.29,0.28,0.29,0.10,0.11,0.11,0.03,0.04,0.02,25.12,9.89,63.84,3.48,11.04,10.94,4.27,65.14,4.46,,52.45,,5.72,,57.58,,1.04,25.31,166.46,305.14,278.99,228.94,169.44,92.97,37.02,8.24,10.63,12.11,13.16,12.53,14.41,9.15,223.75,6.39,4.39,862.34,0.90,4.43,4.48,1.16,5.62,0.38,39.65,1.42,0.04,82.09,0.98,32.74,2.43,96.87,22.85,36.32,0.06,79.88,33.04,3.28,96.11,24.22,35.60,89.01,106.55,40.49,66.06,186.00,230.59,341.39,351.54,75.24,86.99,89.37,0.17,0.17,0.15,902.89,3131.58,5362.03,18.74,,3.18,2.47,95.00,19.41,23.99,25.31,25.90,26.51,22.30,22.41,22.43,18.14,18.13,18.09,54.72,0.48,16.67,13.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mali,1999,19.99,17.80,16.78,15.00,13.06,9.65,7.72,16.45,28.82,66.77,81.48,14.20,37.12,0.38,0.23,0.24,0.11,0.07,0.07,0.05,0.02,0.01,78.85,2.15,12.91,,8.24,7.74,1.22,52.62,11.26,5.26,63.67,12.39,13.37,7.32,69.22,16.13,1.45,23.03,184.85,290.07,286.41,249.07,192.68,95.47,25.45,16.71,19.95,18.09,20.11,20.65,20.16,10.11,227.90,6.62,6.49,1072.60,1.17,5.29,5.43,1.56,7.26,0.29,34.57,4.19,2.07,76.64,17.56,15.10,3.73,89.06,8.72,56.88,2.43,74.25,14.94,4.30,87.94,10.15,56.14,131.52,115.84,56.70,59.13,231.69,174.64,244.48,244.64,45.10,50.22,48.70,0.01,0.00,0.00,541.22,1807.87,2922.01,18.98,16.00,3.76,2.75,73.22,5.83,7.79,33.47,34.17,34.24,28.50,28.39,28.41,23.46,22.44,22.44,55.66,0.43,20.73,17.25,2.44,2.95,2.76,39.74,21.32,28.38,6.60,57.04,0.17,60.59,31.23,8.02,12.11,1.95,2.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morocco,1999,21.04,18.14,15.67,13.93,12.37,10.02,8.83,19.21,29.12,60.61,52.85,41.42,54.70,0.26,0.24,0.24,0.10,0.10,0.10,0.00,0.00,0.01,56.21,3.84,19.14,2.07,24.64,20.94,3.22,67.98,67.74,46.57,81.36,63.21,68.59,48.71,83.71,66.90,39.46,91.55,32.65,114.80,142.47,147.86,104.44,53.50,16.10,6.49,11.46,13.63,15.60,13.88,12.79,6.53,97.94,3.06,3.16,4167.93,0.75,5.53,5.62,0.85,7.07,0.53,20.94,12.70,65.60,20.07,10.79,,68.16,26.56,54.70,28.92,66.43,19.58,,68.51,25.88,54.55,29.35,12.07,48.63,29.76,18.87,60.05,62.92,80.23,84.95,26.38,25.02,24.36,3.54,0.54,0.14,316.56,900.58,1461.49,21.37,,2.10,1.87,98.13,24.72,28.60,27.86,27.97,27.99,18.03,18.22,18.13,9.48,9.40,8.86,18.45,0.37,57.93,63.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mozambique,1999,20.96,19.44,17.84,13.79,11.51,8.57,7.89,17.17,28.52,71.74,72.02,16.01,29.82,0.16,0.22,0.21,0.05,0.06,0.07,0.01,0.01,0.01,41.05,3.17,52.90,0.50,6.05,5.90,2.34,85.44,9.33,6.09,41.71,7.06,12.07,7.65,48.73,9.05,2.32,20.51,170.83,243.80,233.56,182.66,125.87,87.14,36.75,20.66,21.39,22.33,29.74,27.19,25.51,16.10,188.36,5.40,5.62,649.24,0.95,4.62,4.89,1.30,6.38,0.29,20.09,2.72,,,1.45,30.52,4.14,95.86,3.07,75.17,,,30.08,4.70,95.30,4.03,71.95,69.34,113.46,44.41,69.05,174.59,270.73,305.03,328.25,81.44,78.23,79.33,3.24,2.13,1.61,977.33,2816.13,4760.02,18.99,15.95,3.06,2.39,73.45,11.12,13.33,27.58,27.74,27.75,24.03,24.03,24.04,19.29,19.17,19.16,63.32,0.49,24.21,20.94,2.66,2.63,,27.59,8.67,74.24,6.82,66.87,2.41,21.18,35.01,41.40,7.15,1.84,1.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nepal,1999,9.41,16.04,15.77,13.53,11.05,9.45,7.88,16.25,25.46,78.27,79.15,,6.85,0.29,0.23,0.19,0.05,0.08,0.06,0.00,0.02,0.01,64.07,2.19,10.32,1.63,8.74,7.93,1.03,53.08,18.48,,41.06,8.52,15.39,,37.83,7.96,13.03,71.89,115.60,262.79,218.27,150.61,92.07,36.86,10.60,8.88,12.82,17.21,16.44,15.35,9.52,5.91,158.95,4.43,2.31,1382.38,1.01,5.27,5.48,1.05,5.73,0.44,21.41,,,,,18.73,6.14,90.03,20.88,18.53,1.05,76.36,15.48,5.02,76.05,17.16,14.80,36.00,72.93,43.80,29.14,106.16,363.01,467.73,474.39,119.86,119.83,116.45,6.38,1.64,1.53,1438.37,4313.74,6986.82,19.11,16.06,2.83,2.34,82.31,24.12,26.48,20.43,21.14,21.14,14.33,14.21,13.94,6.28,4.65,4.15,69.66,0.33,23.20,19.16,0.87,1.29,,46.83,13.20,77.86,6.90,72.24,3.95,4.74,18.49,34.69,3.95,1.54,1.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nicaragua,1999,24.52,18.24,15.65,13.34,11.83,9.17,7.24,17.43,28.21,46.45,60.15,23.72,52.94,0.36,0.15,0.18,0.17,0.06,0.09,0.06,0.03,0.04,19.06,13.53,43.74,9.97,37.20,31.49,5.53,93.78,61.47,18.31,76.67,46.75,64.93,20.67,80.52,52.11,36.98,88.76,132.68,202.73,169.80,132.11,84.97,38.20,11.42,17.09,20.55,21.64,20.49,18.92,12.95,8.62,138.01,3.86,2.95,3007.14,0.94,5.47,5.57,1.16,6.86,0.56,20.91,6.82,22.87,50.85,1.84,,5.67,79.34,45.56,40.19,24.07,48.10,,5.92,78.16,47.67,38.49,9.59,35.91,16.74,19.18,45.11,342.29,436.37,450.56,137.78,156.23,151.17,14.94,10.97,9.09,1653.37,5624.36,9070.10,19.30,17.63,2.74,2.51,96.72,39.39,41.09,26.70,26.77,27.02,25.43,25.09,25.19,23.97,23.22,23.22,34.56,0.42,31.95,28.49,1.16,1.04,,47.97,38.20,11.01,20.32,39.13,7.22,18.42,28.22,46.15,4.64,7.54,8.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Niger,1999,22.81,18.26,16.50,14.26,12.47,9.01,6.70,15.35,28.06,76.98,81.43,13.84,27.12,0.31,0.34,0.29,0.10,0.12,0.08,0.00,0.00,0.00,80.79,6.05,11.69,0.50,7.51,7.11,1.26,83.67,11.56,4.46,40.05,8.26,12.67,5.57,45.13,10.16,0.34,31.65,201.11,295.94,297.84,267.22,193.44,95.28,39.44,11.78,17.07,16.21,17.20,17.52,18.25,18.28,237.01,6.95,8.08,852.25,1.38,5.93,6.09,1.86,8.30,0.26,6.46,2.86,1.44,78.73,5.42,26.72,1.42,97.34,15.70,53.76,,,26.84,1.59,97.12,15.87,54.63,150.61,108.04,39.92,68.12,241.01,97.67,147.25,201.89,26.59,28.14,30.24,0.00,0.00,0.00,319.10,1012.94,1814.52,18.05,15.34,3.80,2.72,77.62,5.44,8.93,34.62,34.85,34.91,29.24,28.95,28.76,22.72,22.40,20.39,51.34,0.48,13.04,10.02,2.37,2.88,,32.79,13.52,36.75,3.60,57.40,0.46,48.55,38.61,12.37,10.87,0.99,1.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pakistan,1999,4.59,11.21,15.90,11.89,10.82,8.13,7.59,17.96,22.06,,67.76,,20.07,0.11,0.15,0.18,0.02,0.03,0.05,0.00,0.01,0.01,55.25,3.66,6.10,2.42,8.78,6.61,1.14,51.65,72.39,23.48,38.27,36.60,51.11,17.19,28.75,26.78,62.48,96.15,68.50,190.67,234.64,186.87,117.30,59.15,37.52,7.18,10.71,14.34,14.49,12.32,12.66,14.65,147.95,4.47,3.24,3694.58,1.23,7.09,7.35,1.13,6.22,0.46,28.52,,,,13.67,39.23,37.34,61.33,33.89,21.84,,,28.10,26.58,43.05,23.44,15.46,21.95,73.48,46.10,27.38,93.75,97.82,120.78,134.99,31.46,30.19,29.26,2.11,1.07,0.95,377.47,1086.93,1755.88,19.14,,2.78,2.48,56.22,8.76,11.24,30.72,30.91,30.95,21.57,21.52,21.51,9.90,9.36,9.36,14.85,0.69,43.03,39.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peru,1999,20.84,17.21,15.45,14.66,12.86,10.56,8.42,19.53,29.26,31.28,60.99,31.23,59.13,0.09,0.11,0.14,0.02,0.02,0.04,0.00,0.00,0.01,7.30,15.71,34.88,17.29,57.82,39.12,7.80,90.94,59.89,25.55,80.44,58.37,65.65,30.69,85.92,66.65,31.25,88.17,88.20,176.25,157.13,129.21,94.66,43.12,9.29,11.83,16.45,15.93,15.53,14.68,11.48,5.97,120.04,3.49,2.41,5698.56,0.65,4.45,4.56,0.83,5.83,0.67,21.25,7.11,5.86,51.24,4.15,14.20,40.29,57.38,58.08,31.39,6.30,47.22,14.61,41.45,56.15,62.66,27.41,16.11,38.39,21.16,17.23,53.81,250.72,289.19,293.42,80.15,79.58,76.21,21.81,13.20,12.52,961.78,2864.93,4572.54,20.66,18.32,2.47,2.21,95.93,31.12,44.49,18.08,19.68,19.80,16.78,17.23,17.18,15.03,14.94,14.71,55.23,0.38,40.54,38.60,0.94,0.92,,58.68,52.38,31.20,36.28,64.06,7.07,13.89,33.20,45.84,4.15,13.73,16.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Senegal,1999,23.08,19.34,16.91,13.24,12.48,8.71,6.25,17.28,28.04,48.84,70.61,24.45,38.69,0.60,0.32,0.29,0.16,0.14,0.10,0.04,0.05,0.03,67.48,8.64,21.34,1.60,11.18,10.19,2.13,82.88,29.53,12.00,69.21,21.55,34.21,15.86,76.34,29.44,7.97,60.92,116.88,235.48,247.86,243.51,185.53,96.85,35.31,11.17,13.12,14.69,15.31,14.39,13.56,13.19,191.21,5.81,5.52,1862.76,1.78,8.72,8.96,2.57,13.01,0.38,15.01,4.73,20.95,46.31,4.79,24.01,9.10,66.80,27.95,50.84,23.79,40.88,24.30,11.02,60.37,31.56,49.73,77.33,70.03,38.61,31.42,141.69,219.66,290.59,291.20,52.85,57.99,56.61,0.00,0.00,0.00,634.21,2087.50,3396.40,19.48,17.06,3.06,2.52,82.06,6.76,11.05,30.45,30.68,31.15,27.96,27.75,27.67,25.07,23.96,23.28,52.69,0.45,29.32,23.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Africa,1999,18.36,17.21,15.60,15.08,14.49,11.01,8.25,21.76,29.76,46.26,43.63,47.44,67.89,0.05,0.02,0.11,0.01,0.00,0.03,0.00,0.00,0.00,5.30,8.66,24.38,16.91,70.33,62.19,8.86,99.85,73.21,55.95,80.67,63.36,74.55,59.51,82.33,68.06,52.65,86.76,70.07,127.40,134.69,102.76,65.15,24.98,5.58,8.19,11.77,11.60,10.61,9.32,7.23,2.55,91.71,2.65,2.68,,0.50,4.09,4.10,0.76,5.48,,18.00,27.20,58.29,14.77,2.16,18.12,59.11,40.41,72.20,8.66,58.92,13.03,17.83,58.71,40.55,72.98,8.83,12.24,39.09,15.35,23.73,50.75,109.13,134.96,135.06,48.48,51.58,47.71,12.44,2.06,1.83,581.78,1856.90,2862.57,20.69,17.95,1.84,1.71,97.38,52.41,52.93,23.28,23.28,23.93,17.48,17.16,17.28,10.52,9.12,9.12,37.11,0.35,59.46,58.17,,,,64.12,52.60,0.36,41.14,41.96,3.68,21.94,33.93,40.45,4.55,29.80,30.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tanzania,1999,22.34,19.22,18.25,12.42,10.95,7.99,8.82,17.79,28.32,80.69,68.05,22.08,21.76,0.35,0.30,0.26,0.14,0.13,0.11,0.03,0.03,0.02,25.44,47.65,69.59,0.26,4.96,4.94,4.79,97.64,7.40,1.60,40.33,1.77,8.61,2.60,47.81,2.93,0.94,35.66,147.81,270.42,238.86,231.06,130.84,63.79,39.38,29.82,34.68,39.65,49.23,45.55,29.87,37.48,197.23,5.61,5.22,1292.82,0.99,4.88,5.05,1.36,6.89,0.38,32.13,0.94,0.07,81.95,0.72,43.27,1.49,97.55,12.95,35.60,0.17,80.96,45.10,1.93,97.08,14.48,33.89,55.00,107.12,45.82,61.31,155.54,269.48,316.28,316.28,80.12,90.21,89.21,6.42,2.37,2.01,961.39,3247.50,5352.30,18.71,16.24,3.00,2.42,93.21,16.72,23.85,25.26,25.48,25.50,23.27,23.35,23.29,20.72,20.71,20.69,79.41,0.36,13.81,10.56,2.26,2.32,19.49,42.10,4.26,72.30,13.07,84.33,1.80,28.09,38.39,31.72,8.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Togo,1999,20.24,16.92,18.16,15.62,12.69,8.58,7.79,18.43,28.80,,69.69,23.54,35.38,0.22,0.20,0.19,0.15,0.13,0.10,0.03,0.04,0.03,50.74,2.47,32.65,,16.61,16.00,2.50,96.45,17.20,4.46,52.20,14.11,20.62,6.96,59.88,19.76,3.01,38.16,95.34,227.84,252.26,217.13,168.18,86.18,37.79,11.18,13.60,13.89,15.63,17.12,13.77,14.32,183.13,5.42,4.74,1361.44,1.10,5.73,5.79,1.60,8.30,0.43,37.95,2.56,1.25,25.58,11.67,,0.97,4.30,74.92,20.10,1.59,23.45,,1.00,67.03,21.19,42.89,71.62,78.16,39.38,38.78,144.10,207.42,293.75,296.15,91.83,95.61,94.04,7.92,1.87,0.01,1101.99,3442.14,5642.62,19.77,16.76,3.05,2.53,92.20,8.36,25.46,30.53,30.53,30.55,27.27,27.08,26.99,25.03,24.79,24.67,76.78,0.23,39.98,38.49,1.79,1.82,,20.34,10.02,31.36,3.90,80.31,1.00,33.87,38.95,26.18,8.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uganda,1999,22.28,20.70,18.32,13.67,11.32,7.71,6.01,17.20,27.71,85.32,69.19,18.73,14.39,0.31,0.21,0.20,0.03,0.04,0.05,0.00,0.01,0.01,25.72,9.14,58.50,1.35,15.77,13.55,4.16,63.53,6.93,1.48,45.74,4.11,8.82,2.33,52.37,6.28,2.12,34.96,183.69,332.28,303.39,260.76,188.15,82.04,37.27,12.05,13.57,14.91,19.21,18.97,16.89,14.39,245.19,6.94,5.04,,1.11,4.68,4.82,1.43,6.32,,38.50,1.21,4.41,83.95,1.81,45.68,1.56,96.52,1.71,52.70,5.40,80.93,45.97,1.95,95.46,2.22,51.71,70.77,89.34,33.22,56.11,153.71,207.10,223.28,242.97,98.00,101.18,103.61,22.42,17.24,11.44,1175.97,3642.43,6216.71,18.43,16.14,3.47,2.87,94.01,13.75,17.93,24.06,24.84,24.87,23.08,22.94,22.89,22.06,21.71,21.56,71.61,0.42,11.66,9.05,2.16,2.06,9.64,52.58,6.79,75.63,11.83,77.19,,,,,,1.83,2.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vietnam,1999,1.18,7.90,12.25,13.95,13.12,10.91,7.83,20.55,22.85,54.96,63.14,,13.47,0.04,0.06,0.15,0.01,0.01,0.05,0.00,0.00,0.01,4.69,6.70,18.86,8.45,43.60,41.79,4.75,89.28,79.10,10.94,50.80,57.32,52.92,7.52,34.34,39.79,74.03,98.97,24.95,162.95,132.17,85.54,43.99,16.68,2.66,9.10,16.50,16.39,16.98,13.67,8.39,2.61,78.46,2.34,1.69,2272.36,0.56,4.60,4.68,0.49,3.54,0.56,73.88,0.91,59.39,31.47,34.67,9.06,22.87,68.78,17.91,81.00,40.19,20.22,6.27,15.05,46.67,11.74,54.67,7.66,23.87,14.16,9.71,31.35,386.29,412.81,446.94,167.97,162.45,160.06,22.53,16.26,14.56,2015.60,5848.24,9603.88,19.94,,1.85,1.74,65.97,36.12,49.59,28.04,28.34,28.51,24.96,24.92,25.02,20.97,20.31,20.06,61.00,0.36,38.60,35.79,0.69,0.77,20.57,48.20,53.38,,17.86,62.21,2.48,1.43,7.20,14.69,1.97,11.72,7.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zambia,1999,24.06,22.13,16.97,13.05,9.81,7.52,6.46,17.49,27.49,,61.03,24.82,36.40,0.22,0.27,0.26,0.09,0.10,0.11,0.00,0.02,0.03,13.04,19.43,59.96,3.14,27.00,24.38,5.61,79.33,15.27,7.17,41.02,16.46,18.62,9.51,46.85,20.36,3.99,29.82,162.05,278.22,267.67,225.41,179.21,74.11,27.60,15.38,16.91,21.44,23.20,22.98,18.99,14.65,212.11,6.07,5.17,2132.09,1.08,5.11,5.28,1.39,6.84,0.42,26.59,2.51,1.81,65.65,0.51,24.59,14.29,84.77,17.18,52.73,2.53,61.56,24.51,17.29,81.54,17.90,52.01,87.87,103.46,36.51,66.96,182.06,222.60,273.84,279.29,73.20,73.47,74.57,0.00,0.00,0.00,878.40,2645.04,4473.94,18.43,16.05,3.08,2.52,96.49,13.92,21.29,25.91,26.26,26.43,22.33,22.26,22.30,17.10,17.06,17.05,54.42,0.43,20.49,17.29,2.43,2.30,25.39,38.92,17.79,48.24,14.08,57.24,1.57,16.05,48.35,34.02,7.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zimbabwe,1999,24.65,21.15,17.47,10.93,11.26,8.15,6.38,18.81,27.51,77.42,60.50,28.22,33.76,0.08,0.18,0.24,0.01,0.08,0.10,0.00,0.06,0.04,7.20,21.60,41.94,22.46,50.86,48.24,7.65,100.00,35.04,13.28,50.45,22.22,36.46,17.72,55.67,27.25,7.93,89.84,116.79,203.47,182.55,139.34,110.72,46.23,13.70,15.28,18.69,21.82,22.08,24.82,17.51,11.77,143.51,4.06,3.95,2630.76,0.70,4.26,4.33,0.99,5.79,0.43,21.31,6.47,5.36,32.04,0.68,27.30,33.31,42.76,35.29,18.68,6.28,30.92,38.06,33.99,41.48,35.95,18.92,37.13,64.06,28.73,35.33,98.78,219.55,299.01,328.24,68.24,63.43,57.18,1.66,0.15,0.14,818.86,2283.49,3431.08,19.52,17.92,2.37,2.16,96.69,35.27,37.41,24.72,25.52,25.80,20.86,21.23,21.27,15.98,15.70,14.93,47.73,0.41,33.10,27.95,1.76,1.76,28.40,45.72,26.10,34.63,25.60,52.26,1.94,24.40,40.23,33.43,7.64,5.91,7.44,50.66,16.14,50.31,84.94,35.89,25.29,50.84,28.63,35.46,0.59,1.45,76.70,10.63,25.66,17.59,50.79,,,,,,,,,,,,,,,,,,,,,,,,
