country_name,year,DM_age_15.19_p,DM_age_20.24_p,DM_age_25.29_p,DM_age_30.34_p,DM_age_35.39_p,DM_age_40.44_p,DM_age_45.49_p,DM_age_marr_mean,DM_age_mean,DM_born_rural_p,DM_marr_p,DM_nvr_marr_p,DM_urban_p,drought_spei03_n1_share12,drought_spei03_n1_share36,drought_spei03_n1_share60,drought_spei03_n1.5_share12,drought_spei03_n1.5_share36,drought_spei03_n1.5_share60,drought_spei03_n2_share12,drought_spei03_n2_share36,drought_spei03_n2_share60,ED_attainment_no_educ_p,ED_attainment_primary_completed_p,ED_attainment_primary_p,ED_attainment_secondary_completed_p,ED_attainment_secondary_higher_p,ED_attainment_secondary_p,ED_educ_years_mean,ED_litt_p,EI_elec_p,EI_fridge_p,EI_radio_p,EI_tv_p,EI_women_elec_p,EI_women_fridge_p,EI_women_radio_p,EI_women_tv_p,ER_elec_rural_p,ER_elec_urban_p,FP_desired_mean,gdp_pc,HD_children_mean,HD_size_defacto_mean,HD_size_dejure_mean,HD_women_children_mean,HD_women_size_mean,hdi,HH_bicycle_p,HH_car_p,HH_floor_high_p,HH_floor_low_p,HH_motorcycle_p,HH_time_water_mean,HH_toilet_high_p,HH_toilet_low_p,HH_water_high_p,HH_water_low_p,HH_women_floor_high_p,HH_women_floor_low_p,HH_women_time_water_mean,HH_women_toilet_high_p,HH_women_toilet_low_p,HH_women_water_high_p,HH_women_water_low_p,pre_max12,pre_max36,pre_max60,pre_mean12,pre_mean36,pre_mean60,pre_min12,pre_min36,pre_min60,pre_sum12,pre_sum36,pre_sum60,RH_age_first_birth_mean,RH_children_born_mean,RH_children_living_mean,RH_contr_modern_know_p,tmp_max12,tmp_max36,tmp_max60,tmp_mean12,tmp_mean36,tmp_mean60,tmp_min12,tmp_min36,tmp_min60,WK_working_p,WL_wealth_gini,WL_wealth_mean,WL_wealth_median,RH_family_planning_mobile_p,RH_family_planning_radio_p,RH_family_planning_tv_p,WK_working_agri_p,RH_family_planning_news_p,WK_working12_p,DM_age_diff_mean,EI_telephone_p,EI_women_telephone_p,DP_decide_health_p,DP_decide_large_purchase_p,DP_decide_money_p,DP_decide_visits_p,EI_modern_cooking_p,EI_news_week_p,EI_radio_week_p,EI_tv_week_p,EI_women_modern_cooking_p,HL_smoke_cig_p,HL_smoke_p,WK_working_paid_p,HL_number_cigarettes_mean,HL_smoke10_p,HL_smoke15_p,HL_smoke5_p,NT_women_anemia_any_p,ED_litt_whole_p,DP_earn_more_equal_p,DP_earn_more_p,HL_health_insur_p,HH_watch_p,DP_owns_house_p,DP_owns_land_p,DP_decide_contraception_p,EI_computer_p,DP_decide_no_contraception_p,EI_internet_day_p,EI_internet_week_p,EI_mobile_p
Zambia,1992,27.30,20.23,16.71,13.19,9.45,7.37,5.76,17.13,27.09,61.37,63.72,24.04,40.18,0.48,0.33,0.34,0.30,0.14,0.16,0.09,0.03,0.05,18.08,30.09,61.10,2.66,20.82,19.20,4.92,100.00,15.36,5.66,35.59,6.72,17.98,7.00,41.36,8.70,2.87,28.84,6.03,2156.27,1.09,5.15,5.35,1.47,7.18,0.40,19.15,3.27,2.26,60.67,0.88,20.10,17.23,81.56,20.44,61.70,2.48,56.37,20.23,20.20,78.49,23.51,58.71,194.36,295.01,316.93,62.48,71.00,74.52,0.00,0.00,0.00,749.73,2556.15,4470.92,18.13,3.16,2.58,85.17,24.94,26.22,26.50,22.12,22.07,22.10,17.08,17.06,17.05,49.74,0.55,19.75,15.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colombia,1993,20.05,18.28,16.79,14.54,11.98,10.03,8.33,19.95,29.09,32.38,53.94,33.79,74.90,0.14,0.16,0.19,0.00,0.05,0.05,0.00,0.01,0.01,3.79,16.69,38.02,15.39,58.20,47.88,7.17,100.00,91.11,56.41,86.56,77.58,93.26,62.99,89.64,83.80,71.32,98.72,2.53,7514.13,0.63,4.46,4.49,0.75,5.58,0.61,36.28,13.05,44.27,10.93,6.39,14.20,27.24,18.35,3.49,14.50,48.43,8.81,14.66,28.66,14.95,3.02,11.93,278.57,354.73,383.81,174.88,182.83,179.86,72.73,55.65,51.64,2098.51,6581.72,10791.65,21.43,1.93,1.82,98.98,22.66,22.81,23.15,22.03,21.99,22.03,21.45,21.19,21.16,46.27,0.30,53.61,56.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Egypt,1993,2.99,9.60,13.91,12.98,12.37,10.16,8.61,18.89,23.27,37.54,65.61,,36.99,0.05,0.11,0.14,0.00,0.03,0.06,0.00,0.01,0.02,31.79,3.59,18.14,11.37,20.68,16.47,3.32,86.61,94.35,57.86,63.62,78.38,67.01,41.03,46.63,56.73,88.73,98.36,1.98,6331.37,0.86,5.34,5.46,0.84,4.82,0.56,12.90,,56.47,28.93,,,87.65,12.35,74.30,14.34,37.56,22.16,,62.25,8.74,51.03,11.27,18.74,24.75,25.55,4.39,4.70,4.91,0.03,0.02,0.02,52.74,169.25,294.83,19.56,2.66,2.27,70.28,28.48,28.49,29.06,20.98,21.33,21.33,12.23,11.93,11.51,14.46,0.37,73.98,78.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ghana,1993,17.17,17.60,18.39,16.68,12.73,9.46,7.97,18.45,29.25,56.03,72.06,18.31,32.73,0.24,0.26,0.29,0.05,0.11,0.12,0.00,0.03,0.03,40.52,38.52,50.24,2.03,9.24,7.71,4.83,100.00,26.08,7.82,40.41,11.64,28.46,10.54,44.16,14.99,6.13,65.83,4.65,2018.54,0.82,3.88,3.97,1.22,5.50,0.47,23.36,2.40,13.56,18.63,1.72,20.03,5.58,74.85,12.57,45.58,15.23,16.85,20.24,6.75,72.51,14.72,43.91,231.10,280.98,305.59,87.65,90.40,90.48,3.91,0.41,0.41,1051.84,3254.28,5428.90,19.93,3.00,2.53,89.74,29.41,29.77,30.18,27.20,27.14,27.13,25.35,24.94,24.91,74.37,0.36,24.02,19.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,1993,6.50,16.03,17.29,14.49,12.49,9.97,8.64,17.76,26.70,,79.63,,25.04,0.18,0.11,0.11,0.06,0.03,0.03,0.00,0.00,0.00,43.97,2.90,17.53,0.02,23.73,20.30,3.10,95.49,61.02,8.98,43.58,24.45,53.87,8.58,40.19,23.01,53.40,84.27,2.61,2097.71,0.82,5.51,5.57,0.86,5.75,0.49,35.33,1.87,,,9.23,16.69,22.15,76.14,21.11,34.71,,,14.18,18.60,62.34,18.59,29.89,365.47,457.40,507.34,119.52,127.32,131.61,3.11,2.28,1.68,1434.22,4583.58,7896.48,19.25,2.60,2.30,78.95,28.70,29.11,29.30,23.10,23.16,23.25,16.06,15.50,15.31,31.14,0.30,36.65,31.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,1993,22.79,22.77,16.50,14.26,10.07,8.01,5.60,18.22,27.50,82.64,60.66,30.57,25.27,0.12,0.19,0.11,0.01,0.04,0.02,0.00,0.00,0.00,17.84,18.69,55.90,4.86,26.26,25.48,6.14,100.00,14.30,3.67,53.22,7.41,16.59,5.77,60.62,11.51,3.78,39.32,3.65,2653.11,0.88,4.72,4.69,1.25,6.58,0.46,22.12,,1.44,65.36,,27.12,13.29,80.67,23.54,50.06,1.96,64.14,28.24,15.08,79.42,24.36,52.11,185.87,237.08,247.13,92.45,83.19,90.19,30.80,10.90,10.51,1109.43,2994.86,5411.12,19.01,3.02,2.68,95.49,22.72,23.14,23.14,21.28,21.47,21.37,19.63,19.62,19.60,49.36,0.54,21.32,17.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madagascar,1993,22.93,19.99,16.27,14.43,11.75,8.73,5.90,17.64,27.98,67.91,61.01,24.70,20.78,0.32,0.25,0.23,0.16,0.14,0.10,0.10,0.07,0.04,23.12,2.72,51.79,0.81,25.07,23.86,3.46,100.00,7.94,1.56,34.69,3.42,10.98,2.31,40.97,5.24,1.36,39.20,6.60,1464.64,1.04,4.67,5.03,1.28,6.38,0.44,3.77,1.20,10.19,40.28,0.87,20.61,2.34,77.60,6.26,82.97,13.16,38.56,20.59,3.12,75.75,8.01,79.32,359.33,372.14,391.60,96.22,93.87,98.30,8.70,7.80,6.08,1154.59,3379.21,5897.72,18.74,3.23,2.62,59.14,25.97,26.33,26.36,23.45,23.47,23.48,19.78,19.70,19.63,76.26,0.44,13.22,9.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malawi,1993,22.93,20.18,16.31,13.40,10.63,9.61,6.93,17.31,28.20,83.93,72.74,16.67,12.64,0.54,0.34,0.24,0.35,0.18,0.12,0.22,0.09,0.06,38.26,9.07,55.66,1.74,6.08,5.95,3.30,95.02,3.57,,37.34,,4.56,,42.67,,1.40,19.97,4.96,751.23,0.87,4.42,4.52,1.14,5.73,0.34,23.31,0.99,0.05,85.94,0.90,29.65,2.63,96.72,7.86,50.90,0.08,83.26,30.13,3.55,95.44,9.10,49.23,189.75,286.37,331.76,63.03,76.97,85.25,0.03,0.03,0.02,756.32,2771.08,5114.93,18.82,3.40,2.54,87.93,25.24,25.68,26.12,22.47,22.34,22.27,18.23,18.17,18.17,31.97,0.49,12.32,8.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morocco,1993,22.96,18.24,16.31,14.63,12.68,8.06,7.13,18.75,28.33,64.00,54.89,39.41,47.27,0.18,0.14,0.15,0.06,0.04,0.05,0.00,0.00,0.00,63.51,6.93,17.37,2.50,19.11,17.05,2.51,95.43,53.52,33.25,83.85,59.85,55.00,36.17,87.21,65.44,22.62,88.02,3.41,3551.27,0.93,5.84,5.97,1.08,7.55,0.48,11.93,10.43,38.83,26.01,10.37,,57.75,39.29,44.93,40.66,40.32,25.33,,58.10,38.41,46.49,40.71,64.19,78.56,90.37,23.23,25.64,26.06,3.79,1.19,0.21,278.77,923.10,1563.41,20.91,2.41,2.11,96.70,27.61,27.91,27.95,17.51,17.90,17.93,9.21,9.03,8.95,17.89,0.37,49.68,51.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Niger,1993,22.10,18.54,18.97,14.60,11.59,8.14,6.06,14.76,27.73,80.01,82.63,12.91,25.98,0.12,0.21,0.21,0.05,0.08,0.09,0.00,0.00,0.03,84.93,1.60,9.52,0.29,5.55,5.34,0.90,97.84,8.54,3.99,39.29,7.13,9.51,5.12,44.45,8.96,0.19,24.36,8.01,839.01,1.44,6.37,6.57,1.91,8.76,0.22,5.68,2.72,1.36,79.12,4.24,20.44,1.60,84.09,8.65,69.65,1.31,78.06,20.51,1.64,83.16,9.39,69.51,140.41,170.77,185.39,31.24,30.23,29.87,0.00,0.00,0.00,374.92,1088.21,1792.49,18.01,3.76,2.62,65.72,33.69,34.21,34.60,28.30,28.60,28.51,21.22,21.22,19.94,45.66,0.47,12.79,9.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pakistan,1993,5.15,12.18,17.91,12.75,11.15,8.27,7.15,17.74,23.03,,72.51,,20.20,0.07,0.11,0.14,0.01,0.01,0.04,0.00,0.00,0.00,62.49,3.05,5.22,1.12,6.86,5.88,0.89,80.24,60.65,14.82,36.72,25.72,45.95,11.88,29.93,20.72,47.97,93.92,3.48,3419.99,1.22,6.72,7.15,1.19,6.32,0.42,25.62,,,,8.77,42.92,24.32,75.35,27.82,31.84,,,33.49,18.92,55.48,21.45,23.65,95.19,129.44,133.78,30.20,30.92,29.64,2.63,0.99,0.76,362.34,1113.22,1778.49,19.18,3.00,2.65,52.49,30.45,30.81,30.82,21.30,21.33,21.34,9.83,9.23,9.23,14.53,0.48,39.97,33.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Senegal,1993,21.67,19.30,16.57,13.88,12.96,9.85,5.77,16.35,28.22,65.28,72.91,22.82,35.47,0.22,0.32,0.22,0.00,0.05,0.03,0.00,0.00,0.00,75.17,8.88,16.80,1.45,8.04,7.63,1.59,100.00,20.48,7.88,67.69,13.15,23.01,10.11,73.97,17.67,2.25,45.32,6.10,1787.59,1.86,8.60,8.83,2.80,13.00,0.36,10.44,3.05,22.82,48.29,3.95,23.58,8.67,64.56,21.55,57.48,26.40,44.41,23.74,9.57,61.73,24.95,54.95,232.45,241.10,364.40,57.08,55.61,61.55,0.10,0.00,0.00,685.01,2001.93,3693.06,18.94,3.40,2.71,66.42,30.43,31.01,31.01,27.38,27.45,27.34,24.64,23.51,23.23,46.30,0.40,26.17,22.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zambia,1993,26.60,20.89,16.53,13.28,9.48,7.32,5.90,17.20,27.15,60.63,63.07,24.28,39.73,0.45,0.34,0.34,0.26,0.15,0.16,0.07,0.03,0.05,16.92,27.52,60.88,2.73,22.20,20.35,5.08,100.00,15.42,5.71,37.18,8.99,18.34,7.26,43.14,11.51,2.72,29.64,5.89,2136.09,1.09,5.15,5.33,1.46,7.13,0.40,20.45,3.07,2.06,61.65,0.82,22.09,16.79,82.18,20.50,59.77,2.35,57.20,22.06,19.89,78.93,22.57,57.64,201.59,283.37,302.18,65.01,69.87,73.20,0.00,0.00,0.00,780.08,2515.30,4392.10,18.19,3.14,2.56,87.74,25.37,26.38,26.59,22.18,22.15,22.15,17.09,17.06,17.05,49.92,0.52,20.40,16.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bangladesh,1994,11.49,18.21,17.58,13.40,10.73,8.23,5.72,14.24,25.07,,79.63,,8.84,,,,,,,,,,46.05,8.90,25.94,1.78,13.37,11.56,2.00,92.34,16.14,,25.29,6.26,14.98,,24.67,6.41,10.16,61.89,2.14,1319.01,0.88,5.33,5.45,0.85,5.54,0.42,16.71,,0.00,91.08,,13.04,0.00,100.00,3.69,7.52,0.00,77.04,11.38,,,3.34,5.98,,,,,,,,,,,,,17.23,2.94,2.40,85.15,,,,,,,,,,13.80,0.38,22.58,17.96,7.25,35.15,13.29,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colombia,1994,19.72,17.81,16.56,14.61,12.25,10.53,8.51,20.00,29.29,32.39,54.33,33.02,75.11,0.18,0.20,0.23,0.00,0.07,0.07,0.00,0.01,0.01,3.68,16.36,37.07,16.06,59.25,48.63,7.27,100.00,91.47,57.90,87.38,79.59,93.50,64.17,90.28,85.19,71.81,98.98,2.51,7633.84,0.62,4.42,4.46,0.76,5.51,0.62,39.09,13.33,46.30,10.92,6.83,13.95,13.62,18.28,4.65,13.37,50.34,8.88,14.20,14.33,14.98,4.02,10.98,285.57,346.61,375.56,172.97,178.03,174.78,63.07,53.82,51.82,2075.66,6409.13,10486.85,21.46,1.92,1.82,99.29,22.72,22.80,23.20,22.10,22.05,22.09,21.49,21.30,21.26,48.45,0.28,52.77,55.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cote d'Ivoire,1994,23.72,19.14,17.97,15.06,10.00,7.67,6.45,17.51,27.71,55.91,68.27,23.99,30.94,0.15,0.34,0.33,0.03,0.12,0.12,0.00,0.01,0.01,67.41,5.00,21.87,0.36,10.72,10.34,1.90,100.00,30.67,8.89,50.38,16.69,36.08,12.54,56.68,22.94,15.34,68.22,5.71,2809.50,1.37,6.62,6.56,2.27,10.89,0.39,34.30,2.93,4.95,33.83,13.92,16.28,8.98,70.91,15.61,63.27,6.86,28.78,16.83,10.89,66.07,18.52,61.68,218.15,235.88,250.76,103.50,98.15,100.25,8.32,3.04,3.04,1242.06,3533.23,6014.83,18.71,3.22,2.66,70.85,28.69,28.79,29.35,26.63,26.49,26.54,24.73,24.51,24.51,74.28,0.38,26.80,20.75,,7.64,8.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Egypt,1994,3.07,9.75,13.48,12.68,12.38,10.08,9.09,18.91,23.30,37.23,65.55,,36.95,0.09,0.14,0.14,0.00,0.04,0.05,0.00,0.02,0.02,30.78,3.69,17.86,11.82,21.90,17.29,3.46,87.51,95.01,58.06,64.38,78.97,67.42,41.00,47.05,57.21,90.02,98.51,1.97,6623.66,0.82,5.27,5.36,0.79,4.72,0.57,13.38,,56.44,28.45,,,86.71,13.29,75.74,13.78,37.48,21.63,,61.38,9.36,52.36,10.82,16.11,27.53,27.93,3.66,4.42,4.77,0.03,0.03,0.02,43.96,159.29,285.96,19.62,2.62,2.24,70.29,28.68,28.68,28.97,21.18,21.43,21.36,12.75,12.15,11.61,13.79,0.37,74.35,79.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
